City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
132,port elizabeth,-33.918,25.5701,17.4,87,75,4.63,ZA,1731302376
133,yellowknife,62.456,-114.3525,-13.71,96,75,4.12,CA,1731302377
134,plymouth,41.8334,-70.8328,14.82,90,100,3.09,US,1731302350
135,inashiki,35.9563,140.3236,22.18,84,85,0.89,JP,1731302379
136,puerto ayacucho,5.6639,-67.6236,24.11,95,100,1.05,VE,1731302380
137,mar del plata,-38.0023,-57.5575,13.38,94,100,1.79,AR,1731301925
138,keflavik,64.0049,-22.5624,7.24,87,100,6.17,IS,1731302383
139,college,64.8569,-147.8028,-17.74,79,20,0.0,US,1731302384
140,waddan,29.1614,16.139,17.47,40,72,2.22,LY,1731302385
141,vilyuchinsk,52.9306,158.4028,-1.85,94,100,2.0,RU,1731302386
142,kone,-21.0595,164.8658,28.17,54,50,2.41,NC,1731302387
143,port moresby,-9.4431,147.1797,27.77,78,100,3.74,PG,1731302388
144,khenchela,35.4358,7.1433,11.55,73,47,3.14,DZ,1731302389
145,salahonda,2.1019,-78.7217,24.83,79,98,4.94,CO,1731302171
146,puerto ayora,-0.7393,-90.3518,21.42,87,93,2.24,EC,1731302391
147,tsiombe,-25.3,45.4833,30.03,48,61,1.19,MG,1731302167
148,soio,-6.1349,12.3689,24.64,87,100,2.51,AO,1731302394
149,sale,34.0389,-6.8166,10.38,100,40,0.0,MA,1731302395
150,harper,4.375,-7.7169,25.27,87,9,2.88,LR,1731302396
151,isafjordur,66.0755,-23.124,3.2,79,82,8.06,IS,1731302398
152,bellingham,48.7595,-122.4882,12.1,89,100,2.57,US,1731302399
153,severo-yeniseyskiy,60.3725,93.0408,-4.3,89,100,3.4,RU,1731302400
154,aral,40.5156,81.2636,10.79,48,100,2.35,CN,1731302401
155,undurkhaan,47.3194,110.6556,2.28,36,55,7.14,MN,1731302402
156,turkmenbasy,40.0222,52.9552,8.43,81,0,2.06,TM,1731302403
157,iskateley,67.6803,53.1512,-12.6,92,70,1.82,RU,1731302405
158,carnarvon,-24.8667,113.6333,24.93,52,60,7.69,AU,1731302407
159,vila franca do campo,37.7167,-25.4333,20.23,99,76,6.27,PT,1731302408
160,sao lourenco do sul,-31.3653,-51.9783,17.82,91,0,3.11,BR,1731302328
161,port macquarie,-31.4333,152.9167,23.37,80,85,1.79,AU,1731302411
162,novoselitskoye,44.7508,43.4369,4.26,96,64,1.87,RU,1731302412
163,soligalich,59.0778,42.2864,-0.45,88,100,1.62,RU,1731302413
164,taltal,-25.4,-70.4833,16.43,84,53,1.41,CL,1731302414
165,ta`u,-14.2336,-169.5144,27.19,83,92,7.02,AS,1731302415
166,moyale,3.5167,39.0584,23.32,62,81,2.61,KE,1731302416
167,saipan,15.1355,145.701,31.39,81,40,5.14,MP,1731302417
168,medicine hat,50.0501,-110.6683,-0.94,85,0,3.09,CA,1731302418
169,kimbe,-5.5502,150.1429,30.44,68,50,2.37,PG,1731302419
170,turki,51.987,43.2731,2.85,68,100,2.38,RU,1731302420
171,northam,51.0333,-4.2167,10.9,96,100,4.12,GB,1731302421
172,lucapa,-8.4192,20.7447,18.03,95,100,0.74,AO,1731302422
173,misratah,32.3754,15.0925,20.46,76,89,3.6,LY,1731302424
174,wanning,18.8003,110.3967,24.23,94,100,9.22,CN,1731302425
175,auki,-8.7676,160.7034,27.51,81,100,0.58,SB,1731302426
176,mata-utu,-13.2816,-176.1745,28.04,79,79,5.59,WF,1731302387
177,margaret river,-33.95,115.0667,17.75,62,19,6.07,AU,1731302429
